Name,origin,type,glass125ml,glass175ml,glass250ml,bottle
Sauvignon Blanc Concha Y Toro Mountain Range,Chile,White,£4.25,£6.25,£7.75,£21.00
Pinot Grigio Provincia di Pavia IGT Ancora,Italy,White,£4.25,£6.25,£7.75,£21.00
Chardonnay Andrew Peace,Australia,White,£4.25,£6.25,£7.75,£21.00
Vinho Verde DDOC Vila Nova,Portugal,White,,,,£25.00
Viognier IGP Pays d'Oc Cuvee de Vedilhan,France,White,,,,£25.00
Sauvignon Blanc Marlborough,New Zealand,White,,,,£30.00
Merlot Mountain Range Concha Y Toro,Chile,Red,£4.25,£6.25,£7.75,£21.00
Malbec Tribu Mendoza Trivento,Argentina,Red,£4.25,£6.25,£7.75,£22.00
Shiraz Andrew Peace,Australia,Red,£4.25,£6.25,£7.75,£21.00
Rioja DDOC Joven Tinto Tempranillo Manoso,Spain,Red,,,,£26.00
Pinot Grigio Blush delle Venezie IGT San Vigilio,Italy,Rosé,£4.25,£6.25,£7.75,£21.00
Zinfandel Rose Wildwood,California,Rosé,£4.25,£6.25,£7.75,£21.00
Chateau des Ferrages AOP Cotes de Provence Roumery,France,Rosé,,,,£26.00
Prosecco DOC Extra Dry Terredirai,Italy,Sparkling,£7.00,,,£26.00
Prosecco DOC Rose Extra Dry Terredirai,Italy,Sparkling,£7.00,,,£26.00
Irroy Brut N.V.,France,Champagne,£10.00,,,£50.00
Moet et Chandon N.V. Brut,France,Champagne,,,,£75.00
Laurent Perrier N.V. Brut Rose,France,Champagne,,,,£115.00
Dom Perignon,France,Champagne,,,,POA
